Case Type,Date,Province State,Cases,Last Update,Lat,Long,People Hospitalized,People Tested
Active,4/12/2020,Alabama,3470,43933.97101,32.3182,-86.9023,437,21583
Confirmed,4/12/2020,Alabama,3667,43933.97101,32.3182,-86.9023,437,21583
Death,4/12/2020,Alabama,93,43933.97101,32.3182,-86.9023,437,21583
Recovered,4/12/2020,Alabama,0,43933.97101,32.3182,-86.9023,437,21583
Active,4/13/2020,Alabama,165,43934.96382,32.3182,-86.9023,20,7599
Confirmed,4/13/2020,Alabama,203,43934.96382,32.3182,-86.9023,20,7599
Death,4/13/2020,Alabama,6,43934.96382,32.3182,-86.9023,20,7599
Recovered,4/13/2020,Alabama,0,43934.96382,32.3182,-86.9023,20,7599
Active,4/14/2020,Alabama,204,43935.98161,32.3182,-86.9023,36,3935
Confirmed,4/14/2020,Alabama,171,43935.98161,32.3182,-86.9023,36,3935
Death,4/14/2020,Alabama,15,43935.98161,32.3182,-86.9023,36,3935
Recovered,4/14/2020,Alabama,0,43935.98161,32.3182,-86.9023,36,3935
Active,4/15/2020,Alabama,118,43936.95615,32.3182,-86.9023,32,960
Confirmed,4/15/2020,Alabama,266,43936.95615,32.3182,-86.9023,32,960
Death,4/15/2020,Alabama,4,43936.95615,32.3182,-86.9023,32,960
Recovered,4/15/2020,Alabama,0,43936.95615,32.3182,-86.9023,32,960
Active,4/16/2020,Alabama,255,43937.97976,32.3182,-86.9023,28,2314
Confirmed,4/16/2020,Alabama,158,43937.97976,32.3182,-86.9023,28,2314
Death,4/16/2020,Alabama,15,43937.97976,32.3182,-86.9023,28,2314
Recovered,4/16/2020,Alabama,0,43937.97976,32.3182,-86.9023,28,2314
Active,4/17/2020,Alabama,211,43938.97977,32.3182,-86.9023,41,1457
Confirmed,4/17/2020,Alabama,92,43938.97977,32.3182,-86.9023,41,1457
Death,4/17/2020,Alabama,15,43938.97977,32.3182,-86.9023,41,1457
Recovered,4/17/2020,Alabama,0,43938.97977,32.3182,-86.9023,41,1457
Active,4/18/2020,Alabama,136,43939.93943,32.3182,-86.9023,26,4690
Confirmed,4/18/2020,Alabama,231,43939.93943,32.3182,-86.9023,26,4690
Death,4/18/2020,Alabama,5,43939.93943,32.3182,-86.9023,26,4690
Recovered,4/18/2020,Alabama,0,43939.93943,32.3182,-86.9023,26,4690
Active,4/19/2020,Alabama,172,43940.98682,32.3182,-86.9023,21,3174
Confirmed,4/19/2020,Alabama,190,43940.98682,32.3182,-86.9023,21,3174
Death,4/19/2020,Alabama,4,43940.98682,32.3182,-86.9023,21,3174
Recovered,4/19/2020,Alabama,0,43940.98682,32.3182,-86.9023,21,3174
Active,4/20/2020,Alabama,185,43941.98388,32.3182,-86.9023,0,188
Confirmed,4/20/2020,Alabama,185,43941.98388,32.3182,-86.9023,0,188
Death,4/20/2020,Alabama,6,43941.98388,32.3182,-86.9023,0,188
Recovered,4/20/2020,Alabama,0,43941.98388,32.3182,-86.9023,0,188
Active,4/21/2020,Alabama,218,43942.9865,32.3182,-86.9023,58,2626
Confirmed,4/21/2020,Alabama,241,43942.9865,32.3182,-86.9023,58,2626
Death,4/21/2020,Alabama,20,43942.9865,32.3182,-86.9023,58,2626
Recovered,4/21/2020,Alabama,0,43942.9865,32.3182,-86.9023,58,2626
Active,4/22/2020,Alabama,263,43943.98641,32.3182,-86.9023,31,234
Confirmed,4/22/2020,Alabama,288,43943.98641,32.3182,-86.9023,31,234
Death,4/22/2020,Alabama,13,43943.98641,32.3182,-86.9023,31,234
Recovered,4/22/2020,Alabama,0,43943.98641,32.3182,-86.9023,31,234
Active,4/23/2020,Alabama,233,43945.14792,32.3182,-86.9023,38,3881
Confirmed,4/23/2020,Alabama,207,43945.14792,32.3182,-86.9023,38,3881
Death,4/23/2020,Alabama,6,43945.14792,32.3182,-86.9023,38,3881
Recovered,4/23/2020,Alabama,0,43945.14792,32.3182,-86.9023,38,3881
Active,4/24/2020,Alabama,187,43946.27275,32.3182,-86.9023,1,248
Confirmed,4/24/2020,Alabama,193,43946.27275,32.3182,-86.9023,1,248
Death,4/24/2020,Alabama,7,43946.27275,32.3182,-86.9023,1,248
Recovered,4/24/2020,Alabama,0,43946.27275,32.3182,-86.9023,1,248
Active,4/25/2020,Alabama,0,43947.10608,32.3182,-86.9023,70,18455
Confirmed,4/25/2020,Alabama,182,43947.10608,32.3182,-86.9023,70,18455
Death,4/25/2020,Alabama,0,43947.10608,32.3182,-86.9023,70,18455
Recovered,4/25/2020,Alabama,0,43947.10608,32.3182,-86.9023,70,18455
Active,4/26/2020,Alabama,385,43948.10609,32.3182,-86.9023,6,2207
Confirmed,4/26/2020,Alabama,201,43948.10609,32.3182,-86.9023,6,2207
Death,4/26/2020,Alabama,10,43948.10609,32.3182,-86.9023,6,2207
Recovered,4/26/2020,Alabama,0,43948.10609,32.3182,-86.9023,6,2207
Active,4/27/2020,Alabama,109,43949.10609,32.3182,-86.9023,27,446
Confirmed,4/27/2020,Alabama,146,43949.10609,32.3182,-86.9023,27,446
Death,4/27/2020,Alabama,9,43949.10609,32.3182,-86.9023,27,446
Recovered,4/27/2020,Alabama,0,43949.10609,32.3182,-86.9023,27,446
Active,4/28/2020,Alabama,197,43950.10594,32.3182,-86.9023,39,1830
Confirmed,4/28/2020,Alabama,199,43950.10594,32.3182,-86.9023,39,1830
Death,4/28/2020,Alabama,14,43950.10594,32.3182,-86.9023,39,1830
Recovered,4/28/2020,Alabama,0,43950.10594,32.3182,-86.9023,39,1830
Active,4/29/2020,Alabama,148,43951.10591,32.3182,-86.9023,34,4622
Confirmed,4/29/2020,Alabama,159,43951.10591,32.3182,-86.9023,34,4622
Death,4/29/2020,Alabama,14,43951.10591,32.3182,-86.9023,34,4622
Recovered,4/29/2020,Alabama,0,43951.10591,32.3182,-86.9023,34,4622
Active,4/30/2020,Alabama,160,43952.10593,32.3182,-86.9023,33,6747
Confirmed,4/30/2020,Alabama,208,43952.10593,32.3182,-86.9023,33,6747
Death,4/30/2020,Alabama,16,43952.10593,32.3182,-86.9023,33,6747
Recovered,4/30/2020,Alabama,0,43952.10593,32.3182,-86.9023,33,6747
Active,5/1/2020,Alabama,189,43953.10591,32.3182,-86.9023,30,4737
Confirmed,5/1/2020,Alabama,253,43953.10591,32.3182,-86.9023,30,4737
Death,5/1/2020,Alabama,17,43953.10591,32.3182,-86.9023,30,4737
Recovered,5/1/2020,Alabama,0,43953.10591,32.3182,-86.9023,30,4737
Active,5/3/2020,Alabama,593,43955.10593,32.3182,-86.9023,27,567
Confirmed,5/3/2020,Alabama,537,43955.10593,32.3182,-86.9023,27,567
Death,5/3/2020,Alabama,1,43955.10593,32.3182,-86.9023,27,567
Recovered,5/3/2020,Alabama,0,43955.10593,32.3182,-86.9023,27,567
Active,5/11/2020,Alabama,2163,43963.14758,32.3182,-86.9023,221,36944
Confirmed,5/11/2020,Alabama,2285,43963.14758,32.3182,-86.9023,221,36944
Death,5/11/2020,Alabama,113,43963.14758,32.3182,-86.9023,221,36944
Recovered,5/11/2020,Alabama,0,43963.14758,32.3182,-86.9023,221,36944
Active,5/12/2020,Alabama,268,43964.14757,32.3182,-86.9023,31,3774
Confirmed,5/12/2020,Alabama,304,43964.14757,32.3182,-86.9023,31,3774
Death,5/12/2020,Alabama,32,43964.14757,32.3182,-86.9023,31,3774
Recovered,5/12/2020,Alabama,0,43964.14757,32.3182,-86.9023,31,3774
Active,5/13/2020,Alabama,221,43965.14759,32.3182,-86.9023,30,3154
